2014-06-23 17:56:01,UTC
source,http://www.101livestock.com/market-report.html
Steers [lb],Low [$],High [$]
300-350,,,
350-400,254.00,261.00,
400-450,243.00,250.00,
450-500,238.00,243.00,
500-550,229.00,242.00,
550-600,185.00,221.00,
600-700,222.00,225.00,
700-800,,,
800-900,,,

Heifers [lb],Low [$],High [$]
300-350,240.00,245.00,
350-400,228.00,232.00,
400-450,226.00,235.50,
450-500,221.00,227.00,
500-550,213.00,222.00,
550-600,199.00,211.00,
600-700,213.00,700-800,
,,800-900,
,,
Slaughter Cows,Low [$],High [$]
Beef Dairy,,,
Commercials,90.00,101.00,
Feeder,86.00,98.00,
Utilities,88.00,96.00,
Cutters,78.00,85.00,

Slaughter Bulls,Low [$],High [$]
High Yielders,105.00,114.00,
Commercials,95.00,105.00,
